Date,Open,High,Low,Close,Volume,Adj Close
2017-06-14 10:40:45,987.54,987.54,987.54,987.54,660463,987.54
2017-06-14 10:41:43,987.28,987.28,987.28,987.28,660463,987.28
2017-06-14 10:42:24,987.09,987.09,987.09,987.09,660463,987.09
2017-06-14 10:43:51,987.09,987.09,987.09,987.09,660463,987.09
2017-06-14 10:44:19,987.64,987.64,987.64,987.64,660463,987.64
2017-06-14 10:45:45,987.37,987.37,987.37,987.37,660463,987.37
2017-06-14 10:46:57,986.26,986.26,986.26,986.26,660463,986.26
2017-06-14 10:47:54,987.23,987.23,987.23,987.23,660463,987.23
2017-06-14 10:48:56,987.09,987.09,987.09,987.09,660463,987.09
2017-06-14 10:49:47,987.29,987.29,987.29,987.29,660463,987.29
2017-06-14 10:50:58,988.25,988.25,988.25,988.25,660463,988.25
2017-06-14 10:51:55,987.78,987.78,987.78,987.78,660463,987.78
2017-06-14 10:53:04,987.77,987.77,987.77,987.77,660463,987.77
2017-06-14 10:53:52,987.62,987.62,987.62,987.62,660463,987.62
2017-06-14 10:55:07,987.38,987.38,987.38,987.38,660463,987.38
2017-06-14 10:56:04,986.32,986.32,986.32,986.32,660463,986.32
2017-06-14 10:57:04,985.45,985.45,985.45,985.45,660463,985.45
2017-06-14 10:58:09,985.46,985.46,985.46,985.46,660463,985.46
2017-06-14 10:59:01,986.2,986.2,986.2,986.2,660463,986.2
2017-06-14 11:00:06,986.57,986.57,986.57,986.57,660463,986.57
2017-06-14 11:01:03,985.83,985.83,985.83,985.83,660463,985.83
2017-06-14 11:02:10,986.44,986.44,986.44,986.44,660463,986.44
2017-06-14 11:03:14,985.87,985.87,985.87,985.87,660463,985.87
2017-06-14 11:04:08,985.23,985.23,985.23,985.23,660463,985.23
2017-06-14 11:05:15,985.24,985.24,985.24,985.24,660463,985.24
2017-06-14 11:06:12,985.66,985.66,985.66,985.66,660463,985.66
2017-06-14 11:07:12,985.38,985.38,985.38,985.38,660463,985.38
2017-06-14 11:08:04,985.0,985.0,985.0,985.0,660463,985.0
2017-06-14 11:09:14,985.3,985.3,985.3,985.3,660463,985.3
2017-06-14 11:10:20,985.36,985.36,985.36,985.36,660463,985.36
2017-06-14 11:11:18,985.5,985.5,985.5,985.5,660463,985.5
2017-06-14 11:12:14,985.0,985.0,985.0,985.0,660463,985.0
2017-06-14 11:13:19,984.94,984.94,984.94,984.94,660463,984.94
2017-06-14 11:14:20,983.86,983.86,983.86,983.86,660463,983.86
2017-06-14 11:15:20,983.83,983.83,983.83,983.83,660463,983.83
2017-06-14 11:16:22,985.09,985.09,985.09,985.09,660463,985.09
2017-06-14 11:17:24,985.14,985.14,985.14,985.14,660463,985.14
2017-06-14 11:18:26,985.93,985.93,985.93,985.93,660463,985.93
2017-06-14 11:19:09,985.6,985.6,985.6,985.6,660463,985.6
2017-06-14 11:20:24,985.98,985.98,985.98,985.98,660463,985.98
2017-06-14 11:21:21,985.9,985.9,985.9,985.9,660463,985.9
2017-06-14 11:22:27,985.86,985.86,985.86,985.86,660463,985.86
2017-06-14 11:23:23,985.5,985.5,985.5,985.5,660463,985.5
2017-06-14 11:24:09,985.46,985.46,985.46,985.46,660463,985.46
2017-06-14 11:25:06,985.47,985.47,985.47,985.47,660463,985.47
2017-06-14 11:26:34,985.33,985.33,985.33,985.33,660463,985.33
2017-06-14 11:27:21,985.43,985.43,985.43,985.43,660463,985.43
2017-06-14 11:28:38,985.0,985.0,985.0,985.0,660463,985.0
2017-06-14 11:29:34,985.26,985.26,985.26,985.26,660463,985.26
2017-06-14 11:30:37,984.82,984.82,984.82,984.82,660463,984.82
2017-06-14 11:31:34,984.82,984.82,984.82,984.82,660463,984.82
2017-06-14 11:32:41,984.7,984.7,984.7,984.7,660463,984.7
2017-06-14 11:33:33,984.59,984.59,984.59,984.59,660463,984.59
2017-06-14 11:34:38,984.69,984.69,984.69,984.69,660463,984.69
2017-06-14 11:35:39,985.21,985.21,985.21,985.21,660463,985.21
2017-06-14 11:35:50,984.85,984.85,984.85,984.85,660463,984.85
2017-06-14 11:37:28,984.99,984.99,984.99,984.99,660463,984.99
2017-06-14 11:38:42,985.09,985.09,985.09,985.09,660463,985.09
2017-06-14 11:39:40,985.14,985.14,985.14,985.14,660463,985.14
2017-06-14 11:40:45,985.25,985.25,985.25,985.25,660463,985.25
2017-06-14 11:41:36,984.92,984.92,984.92,984.92,660463,984.92
2017-06-14 11:42:31,984.97,984.97,984.97,984.97,660463,984.97
2017-06-14 11:43:48,985.19,985.19,985.19,985.19,660463,985.19
2017-06-14 11:44:30,984.97,984.97,984.97,984.97,660463,984.97
2017-06-14 11:45:48,984.94,984.94,984.94,984.94,660463,984.94
2017-06-14 11:46:32,984.72,984.72,984.72,984.72,660463,984.72
2017-06-14 11:47:43,984.8,984.8,984.8,984.8,660463,984.8
2017-06-14 11:48:46,985.46,985.46,985.46,985.46,660463,985.46
2017-06-14 11:49:49,985.69,985.69,985.69,985.69,660463,985.69
2017-06-14 11:50:48,985.44,985.44,985.44,985.44,660463,985.44
2017-06-14 11:51:46,985.5,985.5,985.5,985.5,660463,985.5
2017-06-14 11:54:11,985.5,985.5,985.5,985.5,660463,985.5
2017-06-14 11:54:49,985.68,985.68,985.68,985.68,660463,985.68
2017-06-14 11:56:07,985.74,985.74,985.74,985.74,660463,985.74
2017-06-14 11:57:09,985.84,985.84,985.84,985.84,660463,985.84
2017-06-14 11:58:03,985.66,985.66,985.66,985.66,660463,985.66
